"ocl";"chl";"chl2";"chl3";"chl4";"chl1a";"chl2a";"chl3a";"el";"bins"
"Chionopsis tegulum";-3.15700042115011;0.693147180559945;0.693147180559945;NA;NA;1;1;NA;1;13
"Chirona alaskana";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Chlamys angelonii";-3.87120101090789;-1.09861228866811;NA;NA;NA;-1;NA;NA;0;13
"Chlamys donmilleri";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Chlamys kaneharai";-4.34380542185369;-0.693147180559945;0.405465108108165;0.405465108108165;NA;-1;0;0;0;13
"Chlamys malvinae";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Chlamys miyatokoensis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Chlamys scabrellus";-4.01938152374865;0;1.09861228866811;NA;NA;0;1;NA;0;13
"Chlamys sendaiensis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Chrysallida pygmaea";-3.87120101090789;0;0;0;NA;0;0;0;1;13
"Chrysallida semireticulata";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Circomphalus plicatus";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Circulus hennei";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Circulus subcirculus";-3.87120101090789;0;0;NA;NA;0;0;NA;1;13
"Cladangia semispherica";-4.34380542185369;0;0.693147180559945;0.693147180559945;NA;0;1;1;0;13
"Clathrodrillia gatunensis";-3.15700042115011;0.693147180559945;0.693147180559945;NA;NA;1;1;NA;0;13
"Clavatula calcarata";-3.87120101090789;0;NA;NA;NA;0;NA;NA;0;13
"Clementia dariena";-3.2188758248682;0;-0.22314355131421;-0.22314355131421;0.693147180559945;0;-1;-1;0;13
"Clementia inoceriformis";-4.34380542185369;-0.693147180559945;NA;NA;NA;-1;NA;NA;0;13
"Clinocardium matschiense";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
"Clinocardium nuttallii";-3.15700042115011;0.693147180559945;-0.405465108108165;NA;NA;1;0;NA;0;13
"Columbellopsis nycteis";-3.87120101090789;0;NA;NA;NA;0;NA;NA;1;13
