"","genus","phylum","class","order","family","fad","lad","logsize","logvol"
"113467","Iotrigonia","Mollusca","Bivalvia","Trigoniida","",152.1,72.1,1.92634244662566,4.99203657215261
"113481","Iowatrypa","Brachiopoda","Rhynchonellata","Atrypida","Atrypidae",382.7,382.7,1.14410697304932,2.83018636034744
"113492","Ipherron","Brachiopoda","Rhynchonellata","Rhynchonellida","Plectorhynchellidae",393.3,393.3,1.19423674872383,2.97512448713932
"113493","Iphigenia","Mollusca","Bivalvia","Cardiida","Donacidae",20.44,20.44,1.93951925261862,5.0294898408584
"113495","Iridistrophia","Brachiopoda","Strophomenata","Orthotetida","Chilidiopsidae",423,393.3,1.37240052666331,3.43816597058412
"113587","Irinoceras","Mollusca","Cephalopoda","Goniatitida","Prionoceratidae",358.9,358.9,1.26221370547642,3.13763846865939
"113589","Irus","Mollusca","Bivalvia","Cardiida","Veneridae",23.03,1,1.70586371228392,4.36535592696284
"113593","Isalaux","Arthropoda","Trilobita","Phacopida","Monorakidae",467.3,467.3,1.35816336291307,2.74531844521631
"113596","Isbergia","Arthropoda","Trilobita","Proetida","Rorringtoniidae",453,445.2,0.937517892017347,1.56828807522418
"113600","Ischadium","Mollusca","Bivalvia","Mytilida","Mytilidae",3.6,1,1.83821922190763,4.74155835942439
"113601","Ischyrodonta","Mollusca","Bivalvia","Modiomorphida","Allodesmatidae",453,453,1.38881141347352,3.46417813414482
"113610","Isculites","Mollusca","Cephalopoda","Ceratitida","Isculitidae",247.2,247.2,1.83250891270624,4.68354062158008
"113632","Isculitoides","Mollusca","Cephalopoda","Ceratitida","Paragoceratidae",251.2,251.2,1.49540556314619,3.76975283722712
"113633","Ishimia","Brachiopoda","Strophomenata","Strophomenida","Leptellinidae",467.3,467.3,1.57898284270279,4.02646868400698
"113634","Isjuminella","Brachiopoda","Rhynchonellata","Rhynchonellida","Tetrarhynchiidae",168.3,168.3,1.54232738277397,3.98154439973988
"113637","Ismenia","Brachiopoda","Rhynchonellata","Terebratulida","Terebrataliidae",157.3,129.4,1.22878520098065,3.07501298427073
"113642","Isoarca","Mollusca","Bivalvia","Nuculanida","Isoarcidae",190.8,66,1.43120288455652,3.58467009237447
"113651","Isobythocypris","Arthropoda","Ostracoda","Podocopida","",199.3,33.9,-0.102812923419846,-1.08654713671329
"113678","Isochonetes","Brachiopoda","Strophomenata","Productida","Rugosochonetidae",323.2,323.2,1.12548126570059,2.73499217523873
"113682","Isocolus","Arthropoda","Trilobita","Ptychopariida","Isocolidae",467.3,445.2,0.59659709562646,0.614339539276551
"113685","Isocrassina","Mollusca","Bivalvia","Cardiida","",38,3.6,1.43136376415899,3.58512737063932
"113703","Isocyprina","Mollusca","Bivalvia","Cardiida","Arcticidae",208.5,125,1.40262979289547,3.5034549875678
"113884","Isocythereis","Arthropoda","Ostracoda","Podocopida","Trachyleberididae",66,56,-0.264667293679384,-1.53579304410529
"113886","Isodomella","Mollusca","Bivalvia","Cardiida","Neomiodontidae",132.9,132.9,1.29754166781816,3.20475636603471
"113887","Isognomon","Mollusca","Bivalvia","Ostreida","Malleidae",254.17,1,2.40397796366935,6.34965019815677
"114162","Isognomon (Hippochaeta)","Mollusca","Bivalvia","Ostreida","Malleidae",66,7.246,2.1215598441875,5.5469153228021
"114189","Isognomon (Isognomon)","Mollusca","Bivalvia","Ostreida","Malleidae",208.5,41.3,2.40397796366935,6.34965019815677
"114204","Isonema","Mollusca","Gastropoda","Euomphalina","Anomphalidae",410.8,372.2,1.42756724771945,3.49273860043798
"114212","Isophragma","Brachiopoda","Strophomenata","Strophomenida","Plectambonitidae",467.3,458.4,1.16879202031418,2.85833203775965
